CountryID,CountryName,GDP (current US$)_2015,GDP (current US$)_2016,GDP (current US$)_2017,GDP (current US$)_2018,GDP (current US$)_2019,GDP (current US$)_2020,GDP (current US$)_2021,GDP (current US$)_2022,GDP (current US$)_2023,GDP (current US$)_2024,"Population, total_2015","Population, total_2016","Population, total_2017","Population, total_2018","Population, total_2019","Population, total_2020","Population, total_2021","Population, total_2022","Population, total_2023","Population, total_2024",GDP growth (annual %)_2015,GDP growth (annual %)_2016,GDP growth (annual %)_2017,GDP growth (annual %)_2018,GDP growth (annual %)_2019,GDP growth (annual %)_2020,GDP growth (annual %)_2021,GDP growth (annual %)_2022,GDP growth (annual %)_2023,GDP growth (annual %)_2024,"Inflation, consumer prices (annual %)_2015","Inflation, consumer prices (annual %)_2016","Inflation, consumer prices (annual %)_2017","Inflation, consumer prices (annual %)_2018","Inflation, consumer prices (annual %)_2019","Inflation, consumer prices (annual %)_2020","Inflation, consumer prices (annual %)_2021","Inflation, consumer prices (annual %)_2022","Inflation, consumer prices (annual %)_2023","Inflation, consumer prices (annual %)_2024","Unemployment, total (% of total labor force)_2015","Unemployment, total (% of total labor force)_2016","Unemployment, total (% of total labor force)_2017","Unemployment, total (% of total labor force)_2018","Unemployment, total (% of total labor force)_2019","Unemployment, total (% of total labor force)_2020","Unemployment, total (% of total labor force)_2021","Unemployment, total (% of total labor force)_2022","Unemployment, total (% of total labor force)_2023","Unemployment, total (% of total labor force)_2024","Foreign direct investment, net inflows (BoP, current US$)_2015","Foreign direct investment, net inflows (BoP, current US$)_2016","Foreign direct investment, net inflows (BoP, current US$)_2017","Foreign direct investment, net inflows (BoP, current US$)_2018","Foreign direct investment, net inflows (BoP, current US$)_2019","Foreign direct investment, net inflows (BoP, current US$)_2020","Foreign direct investment, net inflows (BoP, current US$)_2021","Foreign direct investment, net inflows (BoP, current US$)_2022","Foreign direct investment, net inflows (BoP, current US$)_2023","Foreign direct investment, net inflows (BoP, current US$)_2024","Total reserves (includes gold, current US$)_2015","Total reserves (includes gold, current US$)_2016","Total reserves (includes gold, current US$)_2017","Total reserves (includes gold, current US$)_2018","Total reserves (includes gold, current US$)_2019","Total reserves (includes gold, current US$)_2020","Total reserves (includes gold, current US$)_2021","Total reserves (includes gold, current US$)_2022","Total reserves (includes gold, current US$)_2023","Total reserves (includes gold, current US$)_2024"
RUS,Russian Federation,1363482182197.71,1276786350881.14,1574199360089.0,1657328773461.31,1693115002708.32,1493075894362.14,1843392293734.38,2266029240645.34,2021421476035.42,,144640716.0,145015460.0,145293260.0,145398106.0,145453291.0,145245148.0,144746762.0,144236933.0,143826130.0,,-1.97271922580408,0.193690071260534,1.82579006401834,2.80724541059601,2.19807571335009,-2.65365450102773,5.61429037578345,-2.06971152527731,3.60000000000001,,15.5344050528403,7.04244762954799,3.68332944412233,2.87829723647884,4.47036660760173,3.38165937237898,6.69445891957612,,,,5.615,5.591,5.238,4.871,4.513,5.62,4.749,3.867,3.076,2.527,6852970000.0,32538900000.0,28557440000.0,8784850000.0,31974770000.0,9478810000.0,40450000000.0,-39800944226.9806,-10045103795.0207,,368042950258.841,377052204307.945,432730507964.11,468645216082.719,555179461638.925,596769862769.564,632241824796.464,581709956946.206,597217063819.197,
RWA,Rwanda,8543759677.58157,8695272300.91019,9252834336.49492,9637904655.17446,10349300380.33,10174387374.3478,11069280649.6459,13316160895.0447,14097768472.1883,,11640022.0,11919183.0,12202060.0,12487996.0,12776103.0,13065837.0,13355260.0,13651030.0,13954471.0,,8.8568555974538,5.97074525431094,3.91817093628465,8.51646722592409,9.44738518613097,-3.37368746369782,10.8579677614975,8.15773308481241,8.24128769450616,,2.52850284192421,7.17434301982009,8.27953672260832,-0.311210160390699,3.34787655037648,9.85039902274207,-0.391346748300791,17.6892095588153,19.789546746467,1.77029240198635,11.838,11.801,11.875,10.759,11.236,11.829,15.775,15.084,12.352,11.994,162083820.997161,279747327.598381,274025990.659944,366192315.50624,263172335.23,152614120.95,211896128.856101,305101863.38,459166412.257306,,917998055.127134,1013756070.46449,1179065818.21496,1354658758.16221,1464573537.8348,1719668098.77361,1867263803.70416,1725574898.68952,1834050909.65197,2406450701.62443
SAS,South Asia,2733651859001.15,3011071812937.53,3433921311742.89,3534066859804.7,3658209765835.5,3493120726808.9,4079874340683.11,4327392880815.64,4494987381110.1,,1788492725.0,1809951345.0,1831474329.0,1852836645.0,1874070006.0,1895144142.0,1914263569.0,1932289074.0,1951539835.0,,7.25162814486748,7.7763033561632,6.50145864333524,6.33468913203174,3.92432562415496,-4.58270181946476,8.76361420829579,6.31320371820945,6.77854269975873,,4.15825589072151,4.17139021053493,4.52022867508868,3.33139516437672,3.6289496588547,5.6602199868936,5.33942885799218,7.67387306987714,6.38195135323062,,6.90755040475197,6.76215422479501,6.87856489772945,6.9988724648697,6.20782246480721,7.50644145337956,6.38900638352055,5.04134225042857,4.53316078699426,4.5634021252246,49718769794.1024,50932456612.9365,46334263754.3824,48656125367.053,56679175734.3765,68956274057.2352,50056964827.048,54693654055.6548,33176800365.1805,,,,,,,,,,,
SAU,Saudi Arabia,669484266666.667,666000000000.0,714994666666.667,846583733333.333,838564800000.0,734271200000.0,874156000000.0,1108571466666.67,1067582933333.33,,29816382.0,30954198.0,30977355.0,30196281.0,30063799.0,31552510.0,30784383.0,32175224.0,33264292.0,,4.5090590631757,1.88449273567737,0.911048655580274,3.19922678028009,1.09773374954092,-3.58153486307663,5.07511034987979,7.48598429134137,-0.754914810584665,,1.20607322150109,2.06884036053473,-0.838194579675018,2.45814158007532,-2.09333333333329,3.44545825956692,3.06328988941547,2.4740737192537,2.32708518362692,1.68792112375817,5.6,5.6,5.89,6.029,5.636,7.66,6.621,5.589,4.008,3.896,3970644084.62136,21954833889.9561,1014062501.14037,12141122232.904,3079217251.32355,1621264195.43532,28350373333.3334,26710062133.3334,22803498160.5829,,626989686477.742,547266635919.121,509457096430.156,509468527336.473,514962537825.302,472850970844.846,473889603512.936,478231707665.7,457948635287.488,436769021307.929
SDN,Sudan,51726758676.7677,42630376000.0,41283617976.1905,32333780383.2924,32338079165.2893,27034593750.0,34229513774.9936,51666875363.0963,109265503110.904,,40024431.0,41259892.0,42714306.0,44230596.0,45548175.0,46789231.0,48066924.0,49383346.0,50042791.0,,1.91017689052751,3.46764218409288,0.70925628476644,-2.6809305497999,-2.17825104530091,-3.62980082410752,-1.8685204827207,-0.957816591119183,-20.1115759693272,,16.9095706050977,17.750253831196,32.3516260968437,63.2925073455888,50.9940515002965,163.257782355458,359.093040778999,138.80846024176,,,14.347,13.606,12.953,12.303,11.658,11.958,11.044,7.53,,,1728373403.43067,1063767535.33587,1065298481.41867,1135787164.04941,825354992.310273,716939710.59488,522869616.855921,573504494.776,,,173516490.886742,168284353.053784,177933851.813136,,,,,,,
SEN,Senegal,17774766696.1759,19040312333.1864,20996562943.5979,23116701556.1381,23403995992.1354,24530513037.7518,27520784129.7508,27619479059.6131,30848333083.7055,,14593331.0,15034521.0,15475002.0,15914498.0,16352922.0,16789219.0,17220867.0,17651103.0,18077573.0,,6.36704365066983,6.35606857181878,7.4074861863013,6.20924103389086,4.61362809749708,1.3420737726679,6.54400109964304,3.82586363675534,4.58406140454957,,0.13521193363526,0.837284942557434,1.3181531484778,0.460985642464282,1.76011151192938,2.54314685681652,2.18032278088147,9.69681899081073,5.93947798773215,,6.757,4.455,4.078,3.455,2.863,3.437,3.44,2.837,2.8,2.992,409166125.81491,472409799.846776,588292997.958708,847841574.790216,1065461344.07466,1845665272.73823,2588127208.45378,2928675555.20779,4789996739.26743,,,,,,,,,,,
SGP,Singapore,307998545269.398,319053943915.005,343257164581.712,376892697588.005,376901649222.451,349488382610.662,434111559282.849,498474540987.78,501427500080.059,,5535002.0,5607283.0,5612253.0,5638676.0,5703569.0,5685807.0,5453566.0,5637022.0,5917648.0,,2.97679931634806,3.58864369582668,4.51292631770927,3.51711418509255,1.34505874082728,-3.86979893430043,9.69076687082064,3.83807678519807,1.07503175095101,,-0.522618167075298,-0.532268739716253,0.576260310166349,0.43862011844684,0.565260568780326,-0.181916666666634,2.30485959040484,6.12106004039418,4.82146729476466,2.36645846996694,3.79,4.08,4.2,3.613,3.1,4.1,4.64,3.591,3.444,3.182,69774553124.9432,65363061549.6076,102165867081.847,82009180716.7877,105890494138.633,80732866659.8214,137269287548.537,148763733075.435,175241466623.637,,251875782494.842,251058293461.882,285000274600.258,292715632357.011,285477830549.322,369834181899.806,425097835210.8,296628740109.38,359834756845.917,365494398350.791
SLB,Solomon Islands,1307909887.55212,1379490304.2254,1469789119.08756,1615478393.28614,1619155017.3924,1536145814.17007,1522794913.0914,1566360686.10632,1633319401.19414,,639415.0,662379.0,685672.0,709101.0,728147.0,744498.0,762591.0,781066.0,800005.0,,1.67614615649777,5.55473153366954,3.07534803424636,2.74599542334096,1.74856655451832,-3.3811475409836,2.56434975416948,2.40248143622522,3.07976981501386,,-0.57446928635949,0.512485626268792,0.488686760261083,3.46147484973729,1.63485544012247,2.96354992076065,-0.115437894412839,5.51812928576938,5.88585897042164,,0.735,0.734,0.725,0.72,0.743,0.864,0.884,1.483,1.455,1.47,32222728.563544,37343622.7695983,42883975.6278544,24992541.5163262,32787092.7202953,8980046.94191946,27919072.2390487,40718832.6899574,78895436.2399954,,519562129.906361,513960963.295802,574230569.143112,617115407.092056,571632111.089413,660995997.34991,694515407.823578,661603757.979699,688220066.972769,
SLE,Sierra Leone,6651626733.64854,6042615859.61074,5818480351.63706,6390514688.52816,6523577590.38319,6688594757.62129,7165214367.64956,7119137321.90082,6411869546.28929,,7037655.0,7205328.0,7379299.0,7554563.0,7731991.0,7912558.0,8094602.0,8276807.0,8460512.0,,-20.4910741067999,6.34672785193577,3.7538032140037,3.47290262012454,5.50270937378153,-1.2533490322766,5.8968527047094,5.3135546141915,5.7100218981806,,6.68943562498681,10.8860609413903,18.2215094003386,16.0295447693699,14.8049990906021,13.4468711101052,11.8739588840234,27.2082883814653,47.6428733253179,28.6337500014115,4.606,4.294,3.834,3.192,3.203,3.508,3.556,3.175,3.153,3.126,252435829.433901,138509469.264081,413724476.112753,250446053.545995,342400000.0,172699178.4246,212289192.761103,293970572.80401,201800561.279411,,579013520.60832,497242646.676568,549121050.851388,501210759.592547,530137881.482077,707703898.12545,945907747.182478,624496474.631725,495698793.817761,
SLV,El Salvador,23438240000.0,24191430000.0,24979190000.0,26020850000.0,26881140000.0,24921190000.0,29043140000.0,31988920000.0,34015620000.0,,6183676.0,6200800.0,6213533.0,6219807.0,6222318.0,6234673.0,6255782.0,6280319.0,6309624.0,,2.40000008852115,2.53906241135864,2.24761908134138,2.4124442237792,2.43747159065784,-7.893101359867,11.9047617015957,2.79955216943868,3.51097706608982,,-0.731384487387957,0.60404908699661,1.0123540331558,1.09033000581892,0.0753241350024612,-0.371590212324095,3.46692585313082,7.19861615609867,4.04554694222477,0.853782292567288,3.998,4.418,4.385,4.006,4.17,5.008,4.327,2.999,2.992,2.839,494541718.092298,479469380.713821,503801415.183001,412743968.360673,696287032.758767,386532637.677301,800443454.959999,10244829.5099997,638117023.61,,2786587496.10091,3238334348.81609,3567268275.79971,3568810597.97393,4445830632.52269,3082859548.1397,3426052270.22409,2694849266.61349,3079168947.08155,3589659290.22734
